Position,Oral,Written,Race,Combine,Class
Captain,89.52,95,1,92.80799999999999,1
Captain,80.0,95,1,89.0,1
Captain,82.38,87,1,85.152,1
Captain,88.57,76,1,81.028,1
Captain,76.19,84,1,80.876,1
Captain,76.19,82,0,79.676,1
Captain,76.19,82,1,79.676,1
Captain,70.0,84,0,78.4,1
Captain,73.81,81,1,78.124,1
Captain,84.29,72,1,76.916,1
Captain,87.62,69,1,76.44800000000001,1
Captain,80.0,74,1,76.4,1
Captain,79.05,74,0,76.02,1
Captain,73.81,77,1,75.72399999999999,1
Captain,76.67,74,1,75.068,1
Captain,82.38,70,0,74.952,1
Captain,73.33,74,1,73.732,1
Captain,70.0,76,1,73.6,1
Captain,68.57,74,0,71.828,1
Captain,82.38,64,1,71.352,1
Captain,56.67,81,1,71.268,1
Captain,70.95,70,0,70.38,1
Captain,62.38,75,1,69.952,0
Captain,78.57,64,1,69.828,0
Captain,71.43,68,1,69.372,0
Captain,71.43,68,1,69.372,0
Captain,59.05,76,1,69.22,0
Captain,60.48,75,0,69.192,0
Captain,57.14,75,1,67.85600000000001,0
Captain,52.38,77,0,67.152,0
Captain,67.14,65,0,65.85600000000001,0
Captain,55.24,68,1,62.896,0
Captain,58.57,65,0,62.428000000000004,0
Captain,48.57,69,1,60.828,0
Captain,67.62,56,0,60.648,0
Captain,57.14,61,0,59.456,0
Captain,70.48,50,0,58.192,0
Captain,42.86,67,0,57.343999999999994,0
Captain,53.81,58,1,56.324,0
Captain,60.0,53,0,55.8,0
Captain,54.76,49,0,51.303999999999995,0
Lieutenant,88.75,91,1,90.1,1
Lieutenant,87.5,87,1,87.2,1
Lieutenant,77.5,91,1,85.6,1
Lieutenant,85.0,84,1,84.4,1
Lieutenant,80.0,87,1,84.2,1
Lieutenant,73.75,91,1,84.1,1
Lieutenant,80.83,84,1,82.73200000000001,1
Lieutenant,73.33,89,1,82.73200000000001,1
Lieutenant,63.75,95,1,82.5,1
Lieutenant,68.33,91,1,81.932,1
Lieutenant,69.58,86,1,79.432,1
Lieutenant,73.75,81,1,78.1,1
Lieutenant,58.75,89,1,76.9,1
Lieutenant,77.5,76,0,76.6,1
Lieutenant,61.25,86,0,76.1,1
Lieutenant,80.42,73,0,75.968,1
Lieutenant,74.17,77,1,75.868,1
Lieutenant,63.33,83,1,75.132,1
Lieutenant,87.5,66,1,74.6,1
Lieutenant,65.83,80,0,74.332,1
Lieutenant,78.33,70,1,73.332,1
Lieutenant,70.83,74,0,72.732,1
Lieutenant,66.67,76,1,72.268,1
Lieutenant,92.08,59,0,72.232,1
Lieutenant,72.5,72,1,72.2,1
Lieutenant,73.33,71,1,71.932,1
Lieutenant,55.0,82,0,71.2,1
Lieutenant,69.17,72,0,70.868,1
Lieutenant,65.83,74,1,70.732,1
Lieutenant,58.33,79,1,70.732,1
Lieutenant,53.75,82,0,70.7,1
Lieutenant,77.5,66,1,70.6,1
Lieutenant,73.75,68,1,70.3,1
Lieutenant,71.67,69,1,70.068,1
Lieutenant,64.58,73,1,69.632,0
Lieutenant,70.83,68,0,69.132,0
Lieutenant,73.75,66,1,69.1,0
Lieutenant,58.75,76,1,69.1,0
Lieutenant,51.25,80,1,68.5,0
Lieutenant,62.5,72,0,68.2,0
Lieutenant,51.67,79,1,68.068,0
Lieutenant,70.83,65,0,67.332,0
Lieutenant,64.58,69,1,67.232,0
Lieutenant,79.17,59,1,67.068,0
Lieutenant,56.25,73,0,66.3,0
Lieutenant,55.0,73,1,65.8,0
Lieutenant,66.25,65,0,65.5,0
Lieutenant,50.42,75,1,65.168,0
Lieutenant,57.5,70,0,65.0,0
Lieutenant,69.17,60,0,63.668,0
Lieutenant,51.67,71,0,63.268,0
Lieutenant,71.67,57,1,62.868,0
Lieutenant,50.42,71,0,62.768,0
Lieutenant,56.25,66,1,62.1,0
Lieutenant,56.67,64,0,61.068000000000005,0
Lieutenant,56.25,64,0,60.9,0
Lieutenant,42.5,73,0,60.8,0
Lieutenant,51.25,67,0,60.7,0
Lieutenant,55.0,64,0,60.4,0
Lieutenant,51.25,66,0,60.1,0
Lieutenant,49.58,67,1,60.032,0
Lieutenant,60.0,60,1,60.0,0
Lieutenant,46.25,68,0,59.3,0
Lieutenant,60.83,58,0,59.132,0
Lieutenant,57.92,58,1,57.968,0
Lieutenant,51.25,62,1,57.7,0
Lieutenant,44.58,66,1,57.431999999999995,0
Lieutenant,44.17,66,0,57.268,0
Lieutenant,45.42,65,1,57.168,0
Lieutenant,55.83,58,0,57.132,0
Lieutenant,54.58,58,1,56.632,0
Lieutenant,58.75,55,0,56.5,0
Lieutenant,40.83,64,0,54.732,0
Lieutenant,52.08,56,0,54.431999999999995,0
Lieutenant,48.33,58,0,54.132,0
Lieutenant,52.92,49,0,50.568000000000005,0
Lieutenant,45.83,46,0,45.931999999999995,0
