sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,two_year_recid,sex-race
1,69,Greater than 45,0,0,0,0,0,F,Aggravated Assault w/Firearm,0,Male-Other
1,34,25 - 45,0,0,0,0,0,F,Felony Battery w/Prior Convict,1,Male-African-American
1,44,25 - 45,0,0,0,0,0,M,Battery,0,Male-Other
1,43,25 - 45,0,0,0,0,3,F,arrest case no charge,0,Male-Other
0,39,25 - 45,1,0,0,0,0,M,Battery,0,Female-Caucasian
1,27,25 - 45,1,0,0,0,0,F,"Poss 3,4 MDMA (Ecstasy)",0,Male-Caucasian
0,37,25 - 45,1,0,0,0,0,M,Battery,0,Female-Caucasian
1,41,25 - 45,0,0,0,0,0,F,"Poss3,4 Methylenedioxymethcath",0,Male-African-American
1,37,25 - 45,0,0,0,0,0,M,Battery,0,Male-Hispanic
1,25,25 - 45,0,0,0,0,3,F,Grand Theft in the 3rd Degree,0,Male-African-American
1,31,25 - 45,1,0,0,0,6,F,Driving While License Revoked,1,Male-Caucasian
0,21,Less than 25,1,0,0,0,0,F,Introduce Contraband Into Jail,0,Female-Caucasian
1,43,25 - 45,1,0,0,0,1,M,Susp Drivers Lic 1st Offense,0,Male-Caucasian
1,32,25 - 45,0,0,0,0,0,M,Battery,0,Male-Other
1,27,25 - 45,0,0,0,0,8,F,Carrying Concealed Firearm,1,Male-African-American
1,33,25 - 45,0,0,0,0,0,F,Tampering With Physical Evidence,1,Male-African-American
1,55,Greater than 45,1,0,0,0,0,F,arrest case no charge,0,Male-Caucasian
1,29,25 - 45,1,0,0,0,0,M,Possess Cannabis/20 Grams Or Less,0,Male-Caucasian
0,21,Less than 25,0,0,0,0,2,F,arrest case no charge,0,Female-African-American
1,51,Greater than 45,0,0,0,0,2,M,Unlaw Use False Name/Identity,0,Male-African-American
0,51,Greater than 45,0,0,0,0,7,F,Possession of Cocaine,0,Female-African-American
1,25,25 - 45,1,0,0,0,9,M,Battery,1,Male-Caucasian
1,35,25 - 45,0,1,0,4,13,F,Uttering a Forged Instrument,1,Male-African-American
1,49,Greater than 45,1,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,0,Male-Caucasian
1,29,25 - 45,0,0,0,0,0,F,Tampering With Physical Evidence,0,Male-African-American
0,28,25 - 45,0,0,0,0,0,F,Grand Theft in the 3rd Degree,0,Female-Other
1,31,25 - 45,0,0,0,1,15,F,Attempt Armed Burglary Dwell,0,Male-African-American
1,30,25 - 45,0,0,0,0,0,M,Possess Cannabis/20 Grams Or Less,0,Male-Hispanic
1,49,Greater than 45,0,0,0,0,4,M,Battery,0,Male-African-American
1,53,Greater than 45,1,0,0,0,8,F,arrest case no charge,0,Male-Caucasian
1,35,25 - 45,0,0,0,0,5,F,Driving While License Revoked,0,Male-African-American
1,62,Greater than 45,0,0,0,0,0,M,Unlaw LicTag/Sticker Attach,0,Male-Hispanic
1,33,25 - 45,0,0,0,0,0,M,Battery,0,Male-Other
0,56,Greater than 45,0,0,0,0,0,M,Battery,0,Female-African-American
1,45,Greater than 45,0,0,0,0,6,F,Possession of Cocaine,1,Male-Hispanic
1,22,Less than 25,0,0,0,0,1,F,Burglary Structure Unoccup,0,Male-Hispanic
1,39,25 - 45,0,0,0,0,1,M,arrest case no charge,0,Male-African-American
1,40,25 - 45,0,0,0,0,2,F,arrest case no charge,0,Male-African-American
1,22,Less than 25,1,0,0,0,0,F,Grand Theft in the 3rd Degree,0,Male-Caucasian
0,26,25 - 45,0,0,0,0,1,F,Poss Cocaine/Intent To Del/Sel,1,Female-African-American
1,32,25 - 45,0,0,0,0,0,F,Felony Battery (Dom Strang),0,Male-African-American
1,41,25 - 45,0,0,0,0,1,M,arrest case no charge,0,Male-African-American
