id,sex,age,age_cat,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,is_violent_recid
3,Male,60,Greater than 45,0,1,0,0,0,F,Burglary Structure Unoccup,0
3,Male,34,25 - 45,0,2,0,0,0,F,Felony Battery w/Prior Convict,1
3,Male,21,Less than 25,0,8,1,0,1,F,Possession of Cannabis,0
3,Male,38,25 - 45,0,1,0,0,2,F,arrest case no charge,0
5,Male,39,25 - 45,0,1,0,0,0,M,Battery,0
5,Male,38,25 - 45,0,4,0,0,3,F,arrest case no charge,0
13,Male,34,25 - 45,0,1,0,0,0,M,Battery,0
13,Male,21,25 - 45,0,2,0,0,1,F,arrest case no charge,1
13,Male,25,25 - 45,0,4,0,0,0,F,"Poss 3,4 MDMA (Ecstasy)",0
13,Female,33,25 - 45,0,1,0,0,0,M,Battery,0
14,Male,36,25 - 45,0,4,0,0,0,F,arrest case no charge,0
14,Male,33,25 - 45,0,1,0,0,0,M,Battery,0
23,Male,23,25 - 45,0,10,0,0,3,F,arrest case no charge,0
23,Male,31,25 - 45,0,4,0,0,6,F,Driving While License Revoked,0
23,Female,19,Less than 25,0,4,0,0,0,F,Grand Theft (Motor Vehicle),0
23,Male,38,25 - 45,0,1,0,0,1,M,Susp Drivers Lic 1st Offense,0
28,Male,29,25 - 45,0,3,0,0,0,M,Battery,0
37,Male,27,25 - 45,0,2,0,0,8,F,arrest case no charge,0
37,Female,32,25 - 45,0,3,0,0,3,F,arrest case no charge,0
40,Male,33,25 - 45,0,10,0,0,0,F,Pos Cannabis W/Intent Sel/Del,1
38,Male,49,Greater than 45,0,1,0,0,0,F,arrest case no charge,0
38,Male,24,25 - 45,0,8,0,2,6,M,Operating W/O Valid License,0
38,Male,26,25 - 45,0,2,0,0,0,M,Possess Cannabis/20 Grams Or Less,0
38,Male,19,Less than 25,0,8,0,0,2,F,arrest case no charge,0
45,Male,45,Greater than 45,0,1,0,0,2,F,Battery,0
45,Female,45,Greater than 45,0,2,0,0,7,F,Possession of Cocaine,0
66,Male,25,25 - 45,0,10,0,0,9,M,Battery,1
67,Male,35,25 - 45,0,8,0,4,13,F,Uttering a Forged Instrument,0
51,Male,43,Greater than 45,0,1,0,0,0,M,Battery,0
51,Male,26,25 - 45,0,4,0,0,0,F,Tampering With Physical Evidence,0
51,Female,25,25 - 45,0,2,0,0,0,F,Grand Theft in the 3rd Degree,0
67,Female,55,Greater than 45,0,1,0,0,1,F,arrest case no charge,0
67,Male,28,25 - 45,0,4,0,1,15,F,Crimin Mischief Damage $1000+,0
67,Male,27,25 - 45,0,7,0,0,0,M,Possess Cannabis/20 Grams Or Less,0
68,Male,43,25 - 45,0,1,0,0,4,M,Battery,0
68,Male,47,Greater than 45,0,4,0,0,8,F,arrest case no charge,0
70,Male,31,25 - 45,0,3,0,0,5,F,Driving While License Revoked,0
70,Male,54,Greater than 45,0,1,0,0,0,M,arrest case no charge,0
70,Male,30,25 - 45,0,1,0,0,0,M,Battery,0
70,Female,49,Greater than 45,0,1,0,0,0,M,Battery,0
101,Male,45,Greater than 45,0,-1,0,0,6,F,Possession of Cocaine,0
72,Male,20,Less than 25,0,4,0,0,1,F,Burglary Structure Unoccup,0
101,Male,34,25 - 45,0,4,0,0,1,M,arrest case no charge,0
102,Male,35,25 - 45,0,2,0,0,2,F,arrest case no charge,0
102,Male,20,Less than 25,0,8,0,0,0,F,Grand Theft in the 3rd Degree,0
115,Female,26,25 - 45,0,3,0,0,1,F,Poss Cocaine/Intent To Del/Sel,0
116,Male,27,25 - 45,0,7,0,0,1,F,Burglary Dwelling Assault/Batt,1
102,Male,29,25 - 45,0,2,0,0,0,F,Felony Battery (Dom Strang),0
116,Male,36,25 - 45,0,2,0,0,1,M,arrest case no charge,0
122,Male,30,25 - 45,0,10,0,0,8,M,Possess Cannabis/20 Grams Or Less,0
128,Male,25,25 - 45,0,10,5,1,14,F,arrest case no charge,0
130,Male,20,Less than 25,0,4,0,0,0,F,Tampering With Physical Evidence,0
116,Male,31,25 - 45,0,2,0,0,1,M,arrest case no charge,0
142,Male,25,Greater than 45,0,8,0,0,9,F,Pos Cannabis W/Intent Sel/Del,0
119,Male,63,25 - 45,0,7,0,0,12,M,Possess Cannabis/20 Grams Or Less,0
119,Female,18,Less than 25,0,7,0,0,0,F,Driving Under The Influence,0
119,Male,58,25 - 45,0,1,0,0,3,F,arrest case no charge,0
120,Female,48,Greater than 45,0,1,0,0,0,M,DUI Level 0.15 Or Minor In Veh,0
120,Female,39,25 - 45,0,1,0,0,0,M,Battery,0
151,Male,19,Less than 25,0,3,0,0,1,M,Battery,1
122,Male,22,Less than 25,0,2,0,0,1,F,arrest case no charge,0
122,Male,27,25 - 45,0,2,0,0,1,F,Possession Burglary Tools,0
154,Female,39,25 - 45,0,-1,0,0,0,F,Aggravated Assault W/Dead Weap,0
122,Male,27,25 - 45,0,4,0,0,0,F,Leaving the Scene of Accident,0
