id,sex,age,age_cat,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,is_violent_recid
3,Male,58,Less than 25,0,1,0,0,0,F,Aggravated Assault w/Firearm,0
3,Male,34,25 - 45,0,2,0,0,0,F,Driving While License Revoked,0
3,Male,20,Less than 25,0,8,1,0,1,F,Possession of Cannabis,0
3,Male,37,25 - 45,0,1,0,0,2,F,arrest case no charge,0
3,Male,38,25 - 45,0,1,0,0,0,M,Battery,0
3,Male,37,25 - 45,0,4,0,0,3,F,arrest case no charge,0
13,Female,33,25 - 45,0,1,0,0,0,M,Battery,0
13,Male,21,Less than 25,0,2,0,0,1,F,arrest case no charge,0
13,Male,24,25 - 45,0,4,0,0,0,F,"Poss 3,4 MDMA (Ecstasy)",0
13,Male,32,25 - 45,0,1,0,0,0,M,Battery,0
13,Male,35,25 - 45,0,4,0,0,0,F,arrest case no charge,0
13,Male,32,25 - 45,0,1,0,0,0,M,Battery,0
23,Male,22,25 - 45,0,10,0,0,3,F,Possession of Cocaine,0
23,Male,31,25 - 45,0,4,0,0,6,F,Driving While License Revoked,0
23,Male,19,Less than 25,0,4,0,0,0,F,Felony Battery (Dom Strang),0
23,Male,37,25 - 45,0,1,0,0,1,M,Susp Drivers Lic 1st Offense,0
23,Male,28,25 - 45,0,3,0,0,0,M,Battery,0
37,Male,27,25 - 45,0,2,0,0,8,F,arrest case no charge,0
37,Female,31,25 - 45,0,3,0,0,3,F,arrest case no charge,0
40,Male,33,25 - 45,0,10,0,0,0,F,Tampering With Physical Evidence,0
37,Male,47,Greater than 45,0,1,0,0,0,F,arrest case no charge,0
37,Male,23,25 - 45,0,8,0,2,6,F,Burglary Structure Unoccup,0
37,Male,25,25 - 45,0,2,0,0,0,M,Possess Cannabis/20 Grams Or Less,0
37,Male,19,Less than 25,0,8,0,0,2,F,arrest case no charge,0
40,Male,43,Less than 25,0,1,0,0,2,M,arrest case no charge,0
40,Female,43,Greater than 45,0,2,0,0,7,F,Possession of Cocaine,0
66,Male,25,25 - 45,0,10,0,0,9,M,Battery,0
67,Male,35,25 - 45,0,8,0,4,13,F,Uttering a Forged Instrument,0
40,Male,42,Greater than 45,0,1,0,0,0,M,Grand Theft in the 3rd Degree,0
40,Male,25,25 - 45,0,4,0,0,0,F,Tampering With Physical Evidence,0
40,Female,24,25 - 45,0,2,0,0,0,F,arrest case no charge,0
66,Female,53,Greater than 45,0,1,0,0,1,F,arrest case no charge,0
66,Male,27,25 - 45,0,4,0,1,15,F,Grand Theft in the 3rd Degree,0
66,Male,26,25 - 45,0,7,0,0,0,M,Possess Cannabis/20 Grams Or Less,0
66,Male,42,Greater than 45,0,1,0,0,4,M,Battery,0
66,Male,45,Greater than 45,0,4,0,0,8,F,arrest case no charge,0
67,Male,30,25 - 45,0,3,0,0,5,F,Driving While License Revoked,0
67,Male,52,25 - 45,0,1,0,0,0,M,Felony Battery (Dom Strang),0
67,Male,29,25 - 45,0,1,0,0,0,M,Battery,0
67,Male,47,Greater than 45,0,1,0,0,0,M,Battery,0
101,Male,45,Greater than 45,0,-1,0,0,6,F,Possession of Cocaine,0
67,Male,20,Less than 25,0,4,0,0,1,F,Burglary Structure Unoccup,0
101,Male,33,25 - 45,0,4,0,0,1,F,arrest case no charge,0
101,Male,34,25 - 45,0,2,0,0,2,F,arrest case no charge,0
101,Male,20,Less than 25,0,8,0,0,0,F,Grand Theft in the 3rd Degree,0
115,Female,26,25 - 45,0,3,0,0,1,F,Poss Cocaine/Intent To Del/Sel,0
116,Male,27,25 - 45,0,7,0,0,1,F,Reckless Driving,0
101,Male,28,25 - 45,0,2,0,0,0,F,Felony Battery (Dom Strang),0
115,Male,35,25 - 45,0,2,0,0,1,M,arrest case no charge,0
122,Male,30,25 - 45,0,10,0,0,8,M,Possess Cannabis/20 Grams Or Less,0
128,Male,25,25 - 45,0,10,5,1,14,F,arrest case no charge,0
130,Male,20,Less than 25,0,4,0,0,0,F,Tampering With Physical Evidence,0
115,Male,30,25 - 45,0,2,0,0,1,M,arrest case no charge,0
142,Male,25,25 - 45,0,8,0,0,9,F,Pos Cannabis W/Intent Sel/Del,0
115,Male,61,25 - 45,0,7,0,0,12,M,Possess Cannabis/20 Grams Or Less,0
115,Female,18,Less than 25,0,7,0,0,0,F,"Poss3,4 Methylenedioxymethcath",0
115,Male,56,25 - 45,0,1,0,0,3,F,Battery,0
116,Male,46,Greater than 45,0,1,0,0,0,M,Battery,0
116,Female,38,25 - 45,0,1,0,0,0,M,Battery,0
151,Male,19,Less than 25,0,3,0,0,1,M,Battery,0
116,Male,21,Less than 25,0,2,0,0,1,F,arrest case no charge,0
116,Male,26,25 - 45,0,2,0,0,1,F,Prostitution/Lewd Act Assignation,0
154,Female,39,25 - 45,0,-1,0,0,0,F,Aggravated Assault W/Dead Weap,0
116,Male,26,25 - 45,0,4,0,0,0,F,Possession Of Methamphetamine,0
122,Male,27,25 - 45,0,4,0,0,0,M,Battery,0
122,Female,33,25 - 45,0,4,0,0,1,F,Grand Theft (Motor Vehicle),0
160,Male,59,Greater than 45,0,9,0,0,14,F,arrest case no charge,0
122,Male,37,25 - 45,0,1,0,0,1,F,Possession of Cocaine,0
122,Male,29,25 - 45,0,4,0,0,0,F,Possession of Cocaine,0
122,Male,32,25 - 45,0,2,0,0,3,F,"Poss3,4 Methylenedioxymethcath",0
128,Male,27,25 - 45,0,7,0,0,1,M,Battery,0
128,Female,26,25 - 45,0,2,0,0,1,F,Crim Use of Personal ID Info,0
183,Male,31,25 - 45,0,10,0,0,13,F,arrest case no charge,0
128,Male,47,Greater than 45,0,9,0,0,8,F,arrest case no charge,0
128,Male,44,Greater than 45,0,9,0,0,3,M,Battery,0
130,Female,54,25 - 45,0,1,0,0,2,M,Resist/Obstruct W/O Violence,0
130,Male,36,25 - 45,0,3,0,0,6,F,Possession Of Alprazolam,0
130,Female,22,25 - 45,0,4,0,0,2,F,arrest case no charge,0
130,Male,26,25 - 45,0,2,0,0,1,M,arrest case no charge,0
130,Male,24,25 - 45,0,1,0,0,2,F,arrest case no charge,0
142,Female,32,25 - 45,0,2,0,0,2,M,Petit Theft,0
142,Male,21,Less than 25,0,2,0,0,0,M,Battery,0
209,Female,30,25 - 45,0,4,0,0,4,F,Battery on Law Enforc Officer,0
142,Male,27,25 - 45,0,2,0,0,1,M,Criminal Mischief>$200<$1000,0
142,Male,38,Greater than 45,0,4,0,0,4,F,arrest case no charge,0
142,Female,18,Less than 25,1,10,0,0,1,F,arrest case no charge,0
151,Female,37,25 - 45,0,1,0,0,0,M,Battery,0
224,Male,32,25 - 45,0,6,0,0,11,F,Agg Assault W/int Com Fel Dome,0
225,Male,33,25 - 45,0,4,0,0,8,M,Assault,0
151,Male,18,Less than 25,0,6,0,0,0,F,Grand Theft in the 3rd Degree,0
151,Male,23,25 - 45,0,6,0,0,0,F,Agg Battery Grt/Bod/Harm,0
151,Male,53,25 - 45,0,1,0,0,1,F,arrest case no charge,0
238,Female,32,25 - 45,0,10,0,0,4,F,Felony Battery (Dom Strang),0
151,Male,25,25 - 45,0,4,0,0,1,F,Poss Cocaine/Intent To Del/Sel,0
154,Female,39,25 - 45,0,2,0,0,1,F,Driving While License Revoked,0
154,Male,47,25 - 45,0,1,0,0,3,M,Battery,0
154,Male,33,25 - 45,1,4,0,0,1,M,,0
154,Male,26,25 - 45,0,7,0,0,1,F,Burglary Conveyance Assault/Bat,0
154,Male,41,Greater than 45,0,2,0,0,2,M,Battery,0
160,Male,20,Less than 25,0,2,0,0,1,F,arrest case no charge,0
160,Male,42,Greater than 45,0,6,0,0,6,F,Crim Use of Personal ID Info,0
160,Male,27,25 - 45,0,4,0,0,0,F,Petit Theft,0
160,Male,20,Less than 25,0,3,0,0,0,F,"Poss3,4 Methylenedioxymethcath",0
183,Female,28,25 - 45,0,7,0,0,5,F,Aggravated Assault W/dead Weap,0
183,Male,44,Greater than 45,0,1,0,0,2,M,Battery,0
183,Male,52,Greater than 45,0,4,0,0,8,F,Possession of Cocaine,0
183,Female,32,25 - 45,0,10,0,0,6,F,Possession of Cocaine,0
183,Male,47,Less than 25,0,1,0,0,1,F,Grand Theft in the 3rd Degree,0
265,Male,28,25 - 45,0,6,0,0,6,M,arrest case no charge,0
209,Male,46,25 - 45,0,1,0,0,2,F,Burglary Unoccupied Dwelling,0
209,Male,49,Greater than 45,0,2,0,0,0,F,Possession Of Heroin,0
209,Male,47,Greater than 45,0,1,0,0,0,F,Possession of Cocaine,0
209,Male,21,Less than 25,0,2,0,0,0,F,Burglary Unoccupied Dwelling,0
209,Male,48,Less than 25,0,1,0,0,1,F,Driving While License Revoked,0
281,Male,66,Greater than 45,0,-1,0,0,3,F,Agg Battery Grt/Bod/Harm,0
287,Male,37,25 - 45,0,9,0,0,2,M,Battery,0
224,Male,38,Greater than 45,0,3,0,0,2,F,arrest case no charge,0
293,Male,23,25 - 45,0,2,0,0,0,F,Possession of Cannabis,0
224,Male,29,25 - 45,0,2,0,0,2,M,Battery,0
224,Female,20,Less than 25,0,4,0,0,1,M,Battery,0
224,Male,42,Greater than 45,0,1,0,0,1,F,Aggravated Assault W/Dead Weap,0
224,Female,32,25 - 45,0,3,0,0,0,M,Uttering a Forged Instrument,0
225,Male,38,25 - 45,0,4,0,0,4,M,Battery,0
225,Male,24,25 - 45,0,2,0,0,0,M,Criminal Mischief,0
225,Female,24,25 - 45,0,8,0,0,0,F,Aggrav Battery w/Deadly Weapon,0
311,Male,43,25 - 45,0,4,0,0,11,F,arrest case no charge,0
225,Male,33,25 - 45,0,1,0,0,2,F,Driving While License Revoked,0
225,Male,24,25 - 45,0,4,0,0,2,M,Possession of Cocaine,0
238,Male,24,25 - 45,0,9,0,0,1,F,arrest case no charge,0
238,Male,33,25 - 45,0,9,0,0,15,F,Possession of Cocaine,0
238,Male,24,25 - 45,0,4,0,0,2,M,Possess Cannabis/20 Grams Or Less,0
238,Male,38,Greater than 45,0,6,0,0,3,F,arrest case no charge,0
