status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,personal_status,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,credit
A11,7,A34,A43,886,A65,A75,4,A93,A101,4,A121,60,A143,A152,1,A173,1,A192,A201,1
A12,48,A32,A43,5954,A61,A73,2,A93,A101,2,A121,21,A143,A152,1,A173,1,A191,A201,2
A14,12,A34,A42,1516,A61,A74,2,A93,A101,3,A121,42,A143,A152,1,A172,2,A191,A201,1
A11,36,A32,A42,7127,A61,A74,2,A93,A103,4,A122,38,A143,A153,1,A173,2,A191,A201,1
A11,21,A33,A40,3757,A61,A73,3,A93,A101,4,A123,44,A143,A153,1,A173,2,A191,A201,2
A14,33,A32,A46,7678,A63,A73,2,A93,A101,4,A121,33,A143,A153,1,A172,2,A192,A201,1
A14,21,A32,A42,2133,A63,A75,3,A93,A101,4,A122,44,A143,A152,1,A173,1,A191,A201,1
A12,33,A32,A40,5324,A61,A73,2,A93,A101,2,A123,33,A143,A151,1,A173,1,A191,A201,1
A14,12,A32,A43,2327,A64,A74,2,A93,A101,4,A121,61,A141,A152,1,A172,1,A191,A201,1
A12,27,A34,A40,7127,A61,A71,4,A93,A101,2,A123,33,A143,A152,1,A174,1,A191,A201,2
A12,12,A32,A40,1291,A61,A72,3,A93,A101,1,A123,25,A143,A152,1,A173,1,A192,A201,2
A11,48,A32,A49,4454,A61,A72,3,A93,A101,4,A122,23,A143,A152,1,A173,1,A191,A201,2
A12,12,A32,A43,1554,A61,A73,1,A93,A101,1,A123,21,A143,A152,1,A173,1,A192,A201,1
A11,21,A34,A40,886,A61,A75,4,A93,A101,4,A123,49,A143,A152,1,A172,1,A191,A201,2
A11,15,A32,A40,1409,A61,A73,2,A93,A101,4,A123,28,A143,A152,1,A173,1,A191,A201,1
A12,24,A32,A43,1274,A62,A73,4,A93,A101,2,A123,32,A143,A152,1,A172,1,A191,A201,2
A14,21,A34,A43,1837,A65,A72,4,A93,A101,4,A122,44,A143,A152,1,A173,1,A191,A201,1
A11,27,A30,A40,7127,A65,A72,2,A93,A101,3,A123,23,A141,A152,3,A173,1,A191,A201,1
A12,24,A32,A41,12579,A61,A75,4,A93,A101,2,A124,38,A143,A153,1,A174,1,A192,A201,2
A14,21,A32,A43,2606,A63,A72,3,A93,A101,2,A123,30,A143,A152,1,A173,2,A192,A201,1
A14,8,A32,A40,1516,A61,A73,4,A93,A101,4,A123,42,A143,A152,3,A173,1,A191,A201,1
A11,7,A32,A43,1961,A63,A73,2,A93,A101,3,A121,37,A143,A151,1,A173,2,A191,A201,1
A11,10,A34,A49,1554,A61,A72,1,A93,A101,3,A121,42,A143,A151,1,A172,2,A191,A201,1
A12,12,A34,A43,1366,A62,A72,3,A93,A101,4,A122,37,A143,A152,1,A173,1,A191,A201,1
A14,10,A34,A42,3380,A65,A73,2,A93,A101,1,A123,30,A143,A152,1,A173,1,A191,A201,1
A11,7,A32,A42,1154,A61,A73,1,A93,A101,2,A121,33,A141,A152,1,A172,1,A192,A201,1
A14,4,A30,A43,448,A61,A75,4,A93,A101,4,A123,44,A143,A152,1,A174,1,A191,A201,1
