,Position,Oral,Written,Race,Combine,Class
0,Captain,89.52,86,1,80.876,1
1,Captain,70.95,86,1,79.432,1
1,Captain,71.67,81,1,76.4,1
3,Captain,80.83,71,1,73.332,1
4,Captain,68.33,79,1,72.232,1
0,Captain,76.19,82,1,79.676,1
6,Captain,68.33,76,1,71.828,1
2,Captain,70.0,84,1,78.4,1
6,Captain,66.67,75,1,71.352,1
9,Captain,76.67,67,1,70.732,1
10,Captain,79.17,62,1,69.632,1
10,Captain,70.95,68,1,69.632,1
4,Captain,79.05,74,1,76.02,1
13,Lieutenant,66.67,72,1,68.5,1
14,Captain,68.57,68,1,68.068,1
5,Captain,82.38,70,1,74.952,1
16,Captain,63.75,68,1,67.232,1
16,Captain,60.83,71,1,67.068,1
7,Captain,68.57,74,1,71.828,1
19,Captain,71.67,56,1,63.668,1
20,Captain,52.38,75,1,63.268,1
10,Captain,70.95,70,0,70.38,1
22,Captain,56.25,69,1,61.068,0
22,Captain,70.48,56,1,60.9,0
24,Captain,61.25,61,1,60.8,0
25,Captain,61.25,61,1,60.8,0
26,Captain,55.24,71,1,60.8,0
12,Captain,60.48,75,1,69.192,0
26,Captain,52.92,69,1,60.0,0
15,Captain,52.38,77,0,67.152,0
16,Captain,67.14,65,1,65.856,0
31,Captain,52.08,61,1,57.268,0
18,Captain,58.57,65,0,62.428,0
33,Captain,44.17,62,1,56.5,0
20,Captain,67.62,56,0,60.648,0
21,Captain,57.14,61,1,59.456,0
23,Captain,70.48,50,1,58.192,0
25,Captain,42.86,67,1,57.344,0
38,Captain,48.57,50,1,50.568,0
26,Captain,60.0,53,1,55.8,0
27,Captain,54.76,49,0,51.304,0
38,Lieutenant,84.29,84,1,79.432,1
42,Lieutenant,79.17,81,1,76.916,1
43,Lieutenant,69.58,84,1,76.448,1
43,Lieutenant,78.33,79,1,76.1,1
45,Lieutenant,70.95,81,1,76.1,1
46,Lieutenant,66.67,84,1,75.132,1
47,Lieutenant,71.43,79,1,74.952,1
47,Lieutenant,63.75,82,1,74.952,1
49,Lieutenant,57.14,86,1,73.732,1
50,Lieutenant,60.0,84,1,73.732,1
51,Lieutenant,60.0,79,1,71.352,1
51,Lieutenant,66.67,75,1,71.2,1
53,Lieutenant,55.0,82,1,69.828,1
33,Lieutenant,77.5,76,1,76.6,1
35,Lieutenant,61.25,86,1,76.1,1
40,Lieutenant,80.42,73,0,75.968,1
57,Lieutenant,67.14,72,1,69.132,1
58,Lieutenant,56.67,77,1,68.068,1
58,Lieutenant,79.17,59,1,67.332,1
44,Lieutenant,65.83,80,1,74.332,1
61,Lieutenant,70.0,65,1,65.856,1
45,Lieutenant,70.83,74,1,72.732,1
63,Lieutenant,58.75,71,1,65.856,1
47,Lieutenant,89.52,59,1,72.232,1
63,Lieutenant,62.5,67,1,65.5,1
66,Lieutenant,63.75,66,1,65.168,1
48,Lieutenant,55.0,82,1,71.2,1
49,Lieutenant,69.17,72,1,70.868,1
69,Lieutenant,57.92,68,1,62.896,1
70,Lieutenant,53.81,73,1,62.896,1
51,Lieutenant,53.75,82,1,70.7,1
70,Lieutenant,69.58,59,1,62.768,1
73,Lieutenant,66.67,61,1,62.428,1
74,Lieutenant,62.38,62,1,61.068,1
75,Lieutenant,57.5,68,1,60.828,0
53,Lieutenant,70.83,68,1,69.132,0
75,Lieutenant,66.67,59,1,60.7,0
78,Lieutenant,55.0,71,1,60.7,0
79,Lieutenant,46.25,74,1,60.1,0
54,Lieutenant,62.5,72,1,68.2,0
81,Lieutenant,48.33,73,1,60.032,0
56,Lieutenant,70.83,65,1,67.332,0
81,Lieutenant,57.5,62,1,60.0,0
84,Lieutenant,70.83,53,1,59.456,0
60,Lieutenant,56.25,73,1,66.3,0
86,Captain,51.67,68,1,57.968,0
61,Lieutenant,66.25,65,1,65.5,0
88,Lieutenant,44.58,69,1,57.7,0
64,Lieutenant,57.5,70,1,65.0,0
66,Lieutenant,69.17,60,0,63.668,0
68,Lieutenant,51.67,71,1,63.268,0
88,Lieutenant,62.38,49,1,57.268,0
71,Lieutenant,50.42,71,1,62.768,0
94,Lieutenant,52.08,59,1,57.132,0
72,Lieutenant,56.67,64,1,61.068,0
75,Lieutenant,56.25,64,1,60.9,0
76,Lieutenant,42.5,73,1,60.8,0
77,Lieutenant,51.25,67,0,60.7,0
80,Lieutenant,55.0,64,0,60.4,0
81,Lieutenant,51.25,66,1,60.1,0
101,Lieutenant,44.58,60,1,56.324,0
101,Lieutenant,55.24,55,1,56.324,0
83,Lieutenant,46.25,68,1,59.3,0
86,Lieutenant,60.83,58,1,59.132,0
105,Lieutenant,53.75,50,1,54.732,0
106,Lieutenant,46.25,56,1,54.432,0
107,Lieutenant,40.83,59,1,54.132,0
88,Lieutenant,44.17,66,1,57.268,0
107,Lieutenant,42.5,57,1,51.304,0
90,Captain,55.83,58,1,57.132,0
111,Lieutenant,51.25,50,1,51.304,0
96,Lieutenant,58.75,55,1,56.5,0
102,Lieutenant,40.83,64,1,54.732,0
106,Lieutenant,52.08,56,1,54.432,0
107,Lieutenant,48.33,58,1,54.132,0
108,Lieutenant,52.92,49,0,50.568,0
112,Lieutenant,45.83,46,1,45.932,0
