@relation adultd
@attribute age {v0,v1,v2,v3}
@attribute workclass {Self-emp-inc,State-gov,Private,Local-gov,Self-emp-not-inc,Federal-gov,Pool}
@attribute fnlwgt {v0,v1,v2,v3}
@attribute education {Masters,Prof-school,12th,Assoc-voc,1st-4th,Assoc-acdm,HS-grad,Bachelors,Pool,9th,5th-6th,Some-college,11th,10th,Doctorate,7th-8th}
@attribute education-num {v0,v1,v2,v3}
@attribute marital-status {Separated,Widowed,Divorced,Married-spouse-absent,Never-married,Pool,Married-civ-spouse}
@attribute occupation {Farming-fishing,Pool,Craft-repair,Other-service,Transport-moving,Prof-specialty,Sales,Exec-managerial,Handlers-cleaners,Machine-op-inspct,Adm-clerical,Protective-serv,Tech-support,Priv-house-serv}
@attribute relationship {Own-child,Wife,Unmarried,Other-relative,Husband,Not-in-family}
@attribute race {Amer-Indian-Eskimo,Asian-Pac-Islander,Other,Black,White}
@attribute sex {Male,Female}
@attribute capital-gain {v0,v3}
@attribute capital-loss {v0,v3}
@attribute hours-per-week {v0,v2,v3}
@attribute native-country {Canada,Germany,Philippines,Mexico,India,Puerto-Rico,United-States,Pool}
@attribute income {'>50K','<=50K'}
@data
v0,Private,v2,11th,v0,Never-married,Machine-op-inspct,Own-child,Black,Male,v0,v0,v0,United-States,'<=50K'
v2,Private,v0,HS-grad,v0,Married-civ-spouse,Farming-fishing,Husband,White,Male,v0,v0,v3,United-States,'<=50K'
v0,Local-gov,v3,Assoc-acdm,v2,Married-civ-spouse,Protective-serv,Husband,White,Male,v0,v0,v0,United-States,'>50K'
v2,Private,v1,Some-college,v1,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,v3,v0,v0,United-States,'>50K'
v0,?,v0,Some-college,v1,Never-married,?,Own-child,White,Female,v0,v0,v0,United-States,'<=50K'
v1,Private,v2,10th,v0,Never-married,Other-service,Not-in-family,White,Male,v0,v0,v0,United-States,'<=50K'
v1,?,v2,HS-grad,v0,Never-married,?,Unmarried,Black,Male,v0,v0,v0,United-States,'<=50K'
v3,Self-emp-not-inc,v0,Prof-school,v3,Married-civ-spouse,Prof-specialty,Husband,White,Male,v3,v0,v0,United-States,'>50K'
v0,Private,v3,Some-college,v1,Never-married,Other-service,Unmarried,White,Female,v0,v0,v0,United-States,'<=50K'
v3,Private,v0,7th-8th,v0,Married-civ-spouse,Craft-repair,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v3,Private,v2,HS-grad,v0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,v3,v0,v0,United-States,'>50K'
v1,Federal-gov,v2,Bachelors,v3,Married-civ-spouse,Adm-clerical,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v0,Private,v0,HS-grad,v0,Never-married,Adm-clerical,Not-in-family,White,Female,v0,v0,v0,United-States,'<=50K'
v3,?,v3,HS-grad,v0,Married-civ-spouse,?,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v2,Private,v3,HS-grad,v0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,v3,v0,v3,United-States,'>50K'
v2,Private,v3,Masters,v3,Married-civ-spouse,Exec-managerial,Husband,White,Male,v0,v0,v3,United-States,'>50K'
v0,State-gov,v3,Some-college,v1,Never-married,Other-service,Own-child,White,Male,v0,v0,v0,United-States,'<=50K'
v2,Private,v1,HS-grad,v0,Married-civ-spouse,Adm-clerical,Wife,White,Female,v0,v0,v0,United-States,'<=50K'
v1,Private,v0,HS-grad,v0,Widowed,Machine-op-inspct,Unmarried,White,Female,v0,v0,v0,United-States,'<=50K'
v2,Private,v0,Doctorate,v3,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,v0,v0,v2,?,'>50K'
v1,Private,v0,Bachelors,v3,Married-civ-spouse,Tech-support,Husband,White,Male,v0,v0,v3,United-States,'>50K'
v1,Private,v3,Some-college,v1,Never-married,Other-service,Own-child,Black,Female,v0,v0,v0,United-States,'<=50K'
v3,?,v1,7th-8th,v0,Divorced,?,Not-in-family,White,Female,v0,v0,v0,United-States,'<=50K'
v0,Private,v2,Bachelors,v3,Never-married,Prof-specialty,Not-in-family,White,Male,v0,v0,v2,Pool,'<=50K'
v0,Private,v2,Bachelors,v3,Married-civ-spouse,Prof-specialty,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v2,Self-emp-not-inc,v3,HS-grad,v0,Married-civ-spouse,Craft-repair,Husband,White,Male,v3,v0,v3,United-States,'>50K'
v0,Private,v2,HS-grad,v0,Never-married,Adm-clerical,Own-child,White,Male,v0,v0,v0,United-States,'<=50K'
v0,Private,v1,HS-grad,v0,Separated,Machine-op-inspct,Unmarried,Black,Male,v0,v0,v3,United-States,'<=50K'
v3,Private,v0,HS-grad,v0,Married-civ-spouse,Craft-repair,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v1,Self-emp-not-inc,v0,Some-college,v1,Never-married,Prof-specialty,Not-in-family,White,Male,v0,v0,v3,United-States,'<=50K'
v2,State-gov,v0,Some-college,v1,Married-civ-spouse,Exec-managerial,Husband,Black,Male,v3,v0,v0,United-States,'>50K'
v3,Self-emp-not-inc,v2,11th,v0,Widowed,Other-service,Unmarried,White,Female,v0,v0,v3,United-States,'<=50K'
v0,Self-emp-not-inc,v2,Bachelors,v3,Never-married,Sales,Not-in-family,White,Male,v0,v0,v3,United-States,'<=50K'
v0,Local-gov,v3,Some-college,v1,Married-civ-spouse,Protective-serv,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v0,Private,v0,HS-grad,v0,Divorced,Exec-managerial,Unmarried,White,Female,v0,v0,v0,United-States,'<=50K'
v3,?,v2,HS-grad,v0,Married-civ-spouse,?,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v1,Local-gov,v3,Bachelors,v3,Married-civ-spouse,Prof-specialty,Husband,White,Male,v0,v0,v0,United-States,'>50K'
v0,Private,v3,5th-6th,v0,Never-married,Priv-house-serv,Not-in-family,White,Male,v0,v0,v3,Pool,'<=50K'
v0,Private,v3,10th,v0,Never-married,Machine-op-inspct,Not-in-family,White,Male,v0,v0,v0,United-States,'<=50K'
v0,Private,v3,HS-grad,v0,Never-married,Craft-repair,Own-child,White,Male,v0,v0,v0,United-States,'<=50K'
v3,Private,v1,Masters,v3,Married-civ-spouse,Prof-specialty,Husband,White,Male,v0,v0,v3,United-States,'>50K'
v2,Self-emp-inc,v1,Assoc-voc,v2,Married-civ-spouse,Sales,Husband,White,Male,v0,v0,v2,United-States,'>50K'
v1,Private,v3,HS-grad,v0,Married-civ-spouse,Farming-fishing,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v1,Private,v0,11th,v0,Married-civ-spouse,Other-service,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v0,State-gov,v1,Some-college,v1,Never-married,Farming-fishing,Own-child,White,Male,v0,v0,v0,United-States,'<=50K'
v0,Private,v3,Assoc-voc,v2,Married-civ-spouse,Prof-specialty,Wife,White,Female,v0,v0,v0,United-States,'>50K'
v2,Private,v3,7th-8th,v0,Married-civ-spouse,Craft-repair,Husband,White,Male,v0,v0,v0,Mexico,'<=50K'
v3,Private,v2,Some-college,v1,Married-civ-spouse,Transport-moving,Husband,White,Male,v3,v0,v3,United-States,'<=50K'
v3,Private,v2,11th,v0,Separated,Priv-house-serv,Not-in-family,Black,Female,v0,v0,v0,United-States,'<=50K'
