a1,sensitive-attr,decision
0.16819131284494435,non-privileged,0
-0.7538922500764212,non-privileged,0
0.6932961357571439,non-privileged,1
-0.6305977613251901,non-privileged,0
-0.3505035298089088,non-privileged,0
1.356659707923791,non-privileged,1
0.6811114202722858,non-privileged,1
0.3630007433012202,non-privileged,0
-1.0438295164304565,non-privileged,0
-0.1291752691421745,non-privileged,0
1.3105165582003642,non-privileged,1
-0.4823528890469204,non-privileged,0
0.07753261086191326,non-privileged,0
-1.5389845154969857,non-privileged,0
-0.4118183408713969,non-privileged,0
-0.32468957053998115,non-privileged,0
1.6817081899302966,non-privileged,1
0.31495580884345337,non-privileged,0
0.26895061340490634,non-privileged,0
0.2859426675704401,non-privileged,0
1.3583162435092135,non-privileged,1
-0.9639214234236786,non-privileged,0
1.3357655217489701,non-privileged,1
-0.6645672464404762,non-privileged,0
-0.23570031771954345,non-privileged,0
-0.3848180196782758,non-privileged,0
-1.2245100544223162,non-privileged,0
-0.6812031561147962,non-privileged,0
0.4459213301854448,non-privileged,0
0.6004719616228845,non-privileged,1
-0.03710919098430562,non-privileged,0
0.9839557705093172,non-privileged,1
1.2306997683616465,non-privileged,1
-0.200685476126412,non-privileged,0
0.49138056624171145,non-privileged,1
0.19330204699390655,non-privileged,0
-0.7282342420418805,non-privileged,0
-0.3388593119658572,non-privileged,0
0.4225669317223416,non-privileged,0
-0.4809002634227823,non-privileged,0
0.3951902936329505,non-privileged,0
0.8991871644745795,non-privileged,1
-0.8356645690430822,non-privileged,0
-0.21379037637456,non-privileged,0
-0.8471785914309813,non-privileged,0
-0.7302982981814221,non-privileged,0
-1.6499676904335083,non-privileged,0
-0.781396237504318,non-privileged,0
0.6994185110194622,non-privileged,1
0.2532209733196993,non-privileged,0
3.266693366635442,non-privileged,1
1.8634508020706746,non-privileged,1
-1.309616504372853,non-privileged,0
0.043997245820783994,non-privileged,0
0.3338914162434525,non-privileged,0
0.39488839275254917,non-privileged,0
-0.6747795194094438,non-privileged,0
1.5233386939458986,non-privileged,1
-0.21638399797108118,non-privileged,0
-0.12613354760163528,non-privileged,0
0.8413787547205368,non-privileged,1
-1.244713180147599,non-privileged,0
-0.9510726785428827,non-privileged,0
-1.1328061802475988,non-privileged,0
1.0481627151773214,non-privileged,1
-0.6020614780430248,non-privileged,0
-0.07904745234810555,non-privileged,0
2.55955220676985,non-privileged,1
0.9481312555176604,non-privileged,1
0.13948566492508613,non-privileged,0
-0.053945167433056496,non-privileged,0
-0.3356263969903598,non-privileged,0
0.9017554860810436,non-privileged,1
-1.593284799749622,non-privileged,0
-0.4814969138688427,non-privileged,0
-0.9627508243719758,non-privileged,0
-0.3449750253996248,non-privileged,0
1.187155976098806,non-privileged,1
-0.8267726555353053,non-privileged,0
0.35902488930031234,non-privileged,0
-1.0296896443592662,non-privileged,0
-0.7612868732042932,non-privileged,0
1.0237580471231735,non-privileged,1
0.8940170194660089,non-privileged,1
-0.782322353712802,non-privileged,0
2.1165996642788643,non-privileged,1
0.44990073917023926,non-privileged,1
-0.08330555808980965,non-privileged,0
0.1202819015628067,non-privileged,0
0.8304141052502766,non-privileged,1
-0.6707666149876625,non-privileged,0
-0.2823676773646959,non-privileged,0
-0.4059170555858654,non-privileged,0
-1.3420501942038034,non-privileged,0
0.5631206774690773,non-privileged,1
0.4424344591391198,non-privileged,0
1.9528807909332908,non-privileged,1
1.208912201177379,non-privileged,1
1.3193592661582427,non-privileged,1
0.6369960008281976,non-privileged,1
-0.212980151325449,privileged,0
0.1696070118800861,privileged,0
-0.8665162308488266,privileged,0
1.7654704524034626,privileged,1
0.7435035651001675,privileged,1
2.048241945338427,privileged,1
0.07168077391115657,privileged,0
1.0914052915527743,privileged,1
2.7468075358180313,privileged,1
-0.35064323697457134,privileged,0
-0.7846219537034469,privileged,0
-1.2903919482125394,privileged,0
-0.12628754716700408,privileged,0
0.35453499827327695,privileged,0
-0.12529696772271237,privileged,0
-0.16522716855677688,privileged,0
-1.670375897733483,privileged,0
1.8142356452313577,privileged,1
0.32867545848200674,privileged,0
2.138382628840813,privileged,1
-0.7849406069425189,privileged,0
1.0930651071610158,privileged,1
-0.9645501031336534,privileged,0
-0.23938322038509308,privileged,0
0.5377382867911183,privileged,1
0.7940302394495525,privileged,1
0.8023399372142009,privileged,1
0.30691787138474247,privileged,0
1.9652365151524824,privileged,1
1.292202175856246,privileged,1
0.06980795456369682,privileged,0
-0.7189077147919978,privileged,0
-1.9844407458879534,privileged,0
0.7216538212029302,privileged,1
0.9826010510725169,privileged,1
1.0080214601553954,privileged,1
0.766113369035901,privileged,1
0.8456791985887744,privileged,1
1.9472894202088147,privileged,1
1.9588141968283268,privileged,1
0.14959169561798413,privileged,0
2.3530696567745366,privileged,1
0.30845508032786245,privileged,0
-1.0916729240272556,privileged,0
2.6357034725797477,privileged,1
1.4043891372583066,privileged,1
0.185562319552464,privileged,0
2.150667084949945,privileged,1
0.3098346933512444,privileged,0
1.122844958498622,privileged,1
1.5040648313088283,privileged,1
-0.8471462380516197,privileged,0
1.1010545950136899,privileged,1
0.11845365860525203,privileged,0
-0.9671561148955441,privileged,0
0.43516605994962587,privileged,0
2.109918207998152,privileged,1
-1.2184068383108002,privileged,0
2.1887130805011408,privileged,1
1.5134287454364883,privileged,1
-0.15246517416692318,privileged,0
1.3297011395204374,privileged,1
1.1457216904347094,privileged,1
-0.09379518422849487,privileged,0
2.38632428795914,privileged,1
1.0606150534995498,privileged,1
1.883173902488528,privileged,1
0.11963502127760878,privileged,0
0.48901899187733927,privileged,1
0.8869544922306276,privileged,1
1.0692975674344933,privileged,1
0.525584808844856,privileged,1
0.3150442000665814,privileged,0
-0.3623590243250161,privileged,0
0.43537894988550185,privileged,0
0.8457420478443886,privileged,1
0.7498317022573961,privileged,1
-0.6165960266573414,privileged,0
2.039053837976504,privileged,1
-0.4460777615446163,privileged,0
0.03029277713498063,privileged,0
0.24707487759556745,privileged,0
-0.0125901615151649,privileged,0
-0.3896281872146594,privileged,0
1.760793167667132,privileged,1
-1.050889110850201,privileged,0
0.3017972107785802,privileged,0
0.0905729028869266,privileged,0
-0.160851651798808,privileged,0
0.8229755655753808,privileged,1
0.6263609461281323,privileged,1
-0.49921112740787776,privileged,0
0.08554294737261059,privileged,0
-0.4158756564376971,privileged,0
-1.1648058561798278,privileged,0
1.2880152355629773,privileged,1
0.5278621722131187,privileged,1
-1.0201505067409615,privileged,0
-0.0434965136450538,privileged,0
1.1777974181919193,privileged,1
