age,education-num,race,capital-gain,capital-loss,hours-per-week,income-per-year,sex
39,13,1,2174,0,40,<=50K,Male
50,13,1,0,0,13,<=50K,Male
38,9,1,0,0,40,<=50K,Male
53,7,0,0,0,40,<=50K,Male
28,13,0,0,0,40,<=50K,Female
37,14,1,0,0,40,<=50K,Female
49,5,0,0,0,16,<=50K,Female
52,9,1,0,0,45,>50K,Male
31,14,1,14084,0,50,>50K,Female
42,13,1,5178,0,40,>50K,Male
37,10,0,0,0,80,>50K,Male
30,13,0,0,0,40,>50K,Male
23,13,1,0,0,30,<=50K,Female
32,12,0,0,0,50,<=50K,Male
34,4,0,0,0,45,<=50K,Male
25,9,1,0,0,35,<=50K,Male
32,9,1,0,0,40,<=50K,Male
38,7,1,0,0,50,<=50K,Male
43,14,1,0,0,45,>50K,Female
40,16,1,0,0,60,>50K,Male
54,9,0,0,0,20,<=50K,Female
35,5,0,0,0,40,<=50K,Male
43,7,1,0,2042,40,<=50K,Male
59,9,1,0,0,40,<=50K,Female
56,13,1,0,0,40,>50K,Male
19,9,1,0,0,40,<=50K,Male
39,9,1,0,0,80,<=50K,Male
49,9,1,0,0,40,<=50K,Male
23,12,1,0,0,52,<=50K,Male
20,10,0,0,0,44,<=50K,Male
45,13,1,0,1408,40,<=50K,Male
30,10,1,0,0,40,<=50K,Male
22,10,0,0,0,15,<=50K,Male
48,7,1,0,0,40,<=50K,Male
21,10,1,0,0,40,<=50K,Male
19,9,1,0,0,25,<=50K,Female
48,12,1,0,0,40,<=50K,Male
31,5,1,0,0,43,<=50K,Male
53,13,1,0,0,40,<=50K,Male
24,13,1,0,0,50,<=50K,Male
49,9,1,0,0,40,<=50K,Female
25,9,1,0,0,35,<=50K,Male
57,13,0,0,0,40,>50K,Male
53,9,1,0,0,38,<=50K,Male
44,14,1,0,0,40,<=50K,Female
41,11,1,0,0,40,<=50K,Male
29,11,1,0,0,43,<=50K,Male
25,10,0,0,0,40,<=50K,Female
47,15,1,0,1902,60,>50K,Female
50,13,1,0,0,55,>50K,Male
47,9,1,0,0,60,<=50K,Male
43,10,1,0,0,40,>50K,Male
46,3,1,0,0,40,<=50K,Male
35,11,1,0,0,40,<=50K,Male
41,9,1,0,0,48,<=50K,Male
30,9,1,5013,0,40,<=50K,Male
30,13,1,2407,0,40,<=50K,Male
48,9,1,0,0,40,<=50K,Male
42,16,1,0,0,45,>50K,Male
29,10,1,0,0,58,<=50K,Male
36,9,1,0,0,40,<=50K,Male
28,10,1,0,0,40,<=50K,Female
53,9,1,0,0,40,>50K,Female
49,10,1,0,0,50,>50K,Male
19,10,1,0,0,32,<=50K,Male
31,13,0,0,0,40,<=50K,Female
29,13,1,0,0,70,>50K,Male
23,10,1,0,0,40,<=50K,Male
79,10,1,0,0,20,<=50K,Male
27,9,1,0,0,40,<=50K,Male
40,12,1,0,0,40,<=50K,Male
18,7,1,0,0,22,<=50K,Female
31,4,1,0,0,40,<=50K,Male
18,9,1,0,0,30,<=50K,Male
52,13,1,0,0,40,<=50K,Male
46,9,1,0,0,40,<=50K,Female
59,9,1,0,0,48,<=50K,Male
44,9,1,14344,0,40,>50K,Female
53,9,1,0,0,35,<=50K,Female
49,9,1,0,0,40,>50K,Male
33,14,1,0,0,50,<=50K,Male
30,5,1,0,0,40,<=50K,Male
43,16,1,0,0,50,>50K,Female
57,11,1,0,0,40,<=50K,Male
37,10,1,0,0,40,<=50K,Female
28,10,0,0,0,25,<=50K,Female
34,13,1,0,0,40,>50K,Male
29,10,1,0,0,50,<=50K,Male
48,16,1,0,1902,60,>50K,Male
37,10,1,0,0,48,>50K,Male
48,12,1,0,0,40,<=50K,Female
32,9,0,0,0,40,<=50K,Male
76,14,1,0,0,40,>50K,Male
44,13,1,15024,0,60,>50K,Male
47,14,1,0,0,50,<=50K,Female
20,10,1,0,0,40,<=50K,Female
29,9,1,0,0,40,<=50K,Male
32,9,1,7688,0,40,>50K,Male
30,7,1,0,0,40,<=50K,Male
31,9,1,0,0,40,<=50K,Female
42,9,1,0,0,40,<=50K,Male
24,13,1,0,0,40,<=50K,Male
38,15,1,0,0,40,>50K,Male
56,9,1,0,1887,50,>50K,Male
28,10,1,4064,0,25,<=50K,Female
36,9,1,0,0,40,<=50K,Female
53,5,1,0,0,50,<=50K,Male
56,10,1,0,0,50,<=50K,Male
49,11,0,0,0,40,>50K,Male
55,10,1,0,0,56,<=50K,Male
22,9,1,0,0,41,<=50K,Male
21,10,1,0,0,40,<=50K,Female
40,13,1,0,0,60,<=50K,Male
30,13,0,0,0,40,<=50K,Male
29,13,1,0,0,50,>50K,Male
19,10,0,0,0,35,<=50K,Male
47,13,1,0,0,40,>50K,Female
20,10,1,0,1719,28,<=50K,Female
31,12,1,0,0,40,>50K,Male
39,10,1,0,0,40,<=50K,Male
28,12,1,0,0,60,<=50K,Female
24,9,1,0,1762,40,<=50K,Female
38,9,1,4386,0,35,<=50K,Male
37,13,1,0,0,50,<=50K,Male
46,12,0,0,0,36,<=50K,Female
38,14,1,0,0,40,>50K,Male
43,9,1,0,0,60,<=50K,Male
27,11,1,0,0,35,<=50K,Female
20,10,1,0,0,20,<=50K,Male
49,10,0,0,0,40,>50K,Male
61,9,1,0,0,40,<=50K,Male
27,10,1,0,0,40,<=50K,Female
19,10,1,0,0,30,<=50K,Male
45,11,1,0,1564,40,>50K,Female
70,10,1,0,0,40,<=50K,Male
31,9,0,0,0,30,<=50K,Female
22,10,1,0,0,24,<=50K,Male
36,9,1,0,0,24,<=50K,Female
64,7,1,0,2179,40,<=50K,Male
47,10,1,0,0,38,<=50K,Female
34,9,1,0,0,40,<=50K,Female
33,13,0,0,0,40,<=50K,Female
21,9,1,0,0,35,<=50K,Male
48,9,1,0,0,46,<=50K,Male
23,13,1,0,0,40,<=50K,Male
71,10,0,0,1816,2,<=50K,Male
29,9,1,0,0,60,<=50K,Male
42,13,0,0,0,50,<=50K,Male
25,9,1,0,0,40,<=50K,Female
44,14,0,0,0,40,<=50K,Female
28,9,0,0,0,40,<=50K,Female
45,14,1,0,0,40,>50K,Male
36,10,1,0,0,40,<=50K,Female
39,12,1,0,0,42,<=50K,Male
46,14,1,0,0,40,<=50K,Male
18,7,1,0,0,16,<=50K,Male
66,11,1,0,0,20,<=50K,Female
27,9,1,0,1980,40,<=50K,Male
28,9,1,0,0,40,<=50K,Male
51,10,1,0,1977,40,>50K,Male
27,13,1,0,0,50,<=50K,Male
28,13,1,0,0,40,>50K,Male
27,9,1,0,0,25,<=50K,Female
21,9,0,0,0,40,<=50K,Male
34,9,0,0,0,40,<=50K,Male
18,9,1,0,0,12,<=50K,Male
33,13,1,0,0,65,<=50K,Male
44,10,0,0,0,38,>50K,Male
43,10,1,0,0,40,<=50K,Female
30,10,0,0,0,45,<=50K,Male
40,4,1,0,0,40,>50K,Male
37,10,1,0,0,42,>50K,Male
34,9,0,0,0,40,<=50K,Male
41,13,1,0,0,40,<=50K,Female
31,14,1,0,0,50,<=50K,Female
58,16,1,0,0,1,>50K,Male
38,10,0,0,0,28,<=50K,Female
24,10,1,0,0,40,<=50K,Male
41,13,0,0,0,40,<=50K,Male
47,10,1,0,0,45,<=50K,Male
41,13,1,0,0,24,<=50K,Male
23,3,1,0,0,40,<=50K,Male
36,10,1,0,0,40,<=50K,Male
40,14,1,14084,0,55,>50K,Female
35,14,1,7298,0,40,>50K,Male
24,9,1,0,0,40,<=50K,Male
26,14,1,0,1876,40,<=50K,Female
51,13,1,0,0,50,>50K,Male
42,10,1,0,1340,40,<=50K,Female
37,9,1,0,0,35,<=50K,Female
18,7,1,0,0,40,<=50K,Female
36,13,0,7298,0,36,>50K,Male
35,9,1,0,0,60,<=50K,Male
58,9,1,15024,0,35,>50K,Female
17,7,1,0,0,12,<=50K,Female
44,9,0,0,0,40,<=50K,Male
37,9,1,0,0,40,>50K,Male
35,10,0,0,0,40,<=50K,Female
60,9,0,0,0,40,<=50K,Male
54,4,1,0,0,40,>50K,Male
37,13,0,0,0,60,>50K,Male
50,12,1,0,0,40,<=50K,Female
38,13,1,0,0,50,<=50K,Male
45,13,1,0,0,55,<=50K,Male
25,6,1,0,0,40,<=50K,Male
31,10,1,0,0,40,<=50K,Male
90,9,0,0,2206,40,<=50K,Male
54,9,0,0,0,20,<=50K,Male
53,1,1,0,0,35,<=50K,Female
18,9,1,0,0,40,<=50K,Female
66,9,1,1409,0,50,<=50K,Male
75,11,1,0,0,20,<=50K,Female
65,9,1,0,0,40,<=50K,Female
35,7,0,3674,0,40,<=50K,Male
41,9,0,0,0,38,<=50K,Female
25,10,1,0,0,42,<=50K,Male
33,10,0,0,0,40,<=50K,Female
28,15,1,0,0,55,>50K,Male
59,9,1,0,0,40,<=50K,Male
40,10,1,0,0,38,<=50K,Female
41,13,1,0,0,50,>50K,Male
38,14,1,0,0,70,>50K,Male
23,9,1,0,0,40,<=50K,Male
40,13,1,0,0,40,>50K,Male
41,9,1,0,0,20,<=50K,Female
24,12,1,0,0,50,<=50K,Male
38,10,1,0,1741,40,<=50K,Male
58,9,1,0,0,45,>50K,Male
32,9,1,0,0,34,<=50K,Female
40,12,1,0,1977,60,>50K,Male
41,15,1,0,0,40,>50K,Female
42,13,0,0,0,40,<=50K,Female
59,6,0,0,0,30,<=50K,Female
19,10,1,0,0,40,<=50K,Male
58,10,1,0,0,20,<=50K,Male
42,9,0,0,0,40,>50K,Male
20,9,1,0,0,40,<=50K,Female
32,9,1,0,0,30,<=50K,Female
45,11,1,0,0,45,<=50K,Female
50,4,1,0,0,40,<=50K,Male
36,13,1,0,0,40,<=50K,Female
45,9,1,0,0,60,<=50K,Male
17,7,1,0,0,12,<=50K,Male
59,10,1,4064,0,40,<=50K,Male
26,7,1,0,0,40,<=50K,Male
37,10,0,0,0,75,>50K,Male
64,9,1,0,0,40,>50K,Male
33,13,1,0,0,45,<=50K,Female
33,9,1,0,0,40,>50K,Female
61,9,1,0,0,40,>50K,Male
17,5,1,1055,0,24,<=50K,Male
50,14,1,2407,0,98,<=50K,Male
27,14,1,0,0,35,<=50K,Male
30,9,1,0,0,40,<=50K,Female
43,9,0,0,0,40,<=50K,Male
44,10,1,7298,0,40,>50K,Male
35,10,1,0,0,40,<=50K,Female
25,10,1,0,0,40,<=50K,Female
24,10,1,7298,0,48,>50K,Female
22,13,1,0,0,15,<=50K,Female
42,10,1,5178,0,40,>50K,Male
34,12,0,0,0,45,<=50K,Female
60,13,1,0,0,42,<=50K,Female
21,9,1,0,0,40,<=50K,Male
57,14,1,15024,0,40,>50K,Male
41,15,1,0,0,60,>50K,Male
50,10,1,0,0,45,<=50K,Male
25,13,1,0,0,40,<=50K,Female
50,4,1,0,0,40,<=50K,Male
