age,education-num,capital-gain,capital-loss,hours-per-week,sex,income-per-year
39,13,2174,0,40,1,0
50,13,0,0,13,1,0
38,9,0,0,40,1,0
53,7,0,0,40,1,0
28,13,0,0,40,0,0
37,14,0,0,40,0,0
49,5,0,0,16,0,0
52,9,0,0,45,1,1
31,14,14084,0,50,0,1
42,13,5178,0,40,1,1
37,10,0,0,80,1,1
30,13,0,0,40,1,1
23,13,0,0,30,0,0
32,12,0,0,50,1,0
34,4,0,0,45,1,0
25,9,0,0,35,1,0
32,9,0,0,40,1,0
38,7,0,0,50,1,0
43,14,0,0,45,0,1
40,16,0,0,60,1,1
54,9,0,0,20,0,0
35,5,0,0,40,1,0
43,7,0,2042,40,1,0
59,9,0,0,40,0,0
56,13,0,0,40,1,1
19,9,0,0,40,1,0
39,9,0,0,80,1,0
49,9,0,0,40,1,0
23,12,0,0,52,1,0
20,10,0,0,44,1,0
45,13,0,1408,40,1,0
30,10,0,0,40,1,0
22,10,0,0,15,1,0
48,7,0,0,40,1,0
21,10,0,0,40,1,0
19,9,0,0,25,0,0
48,12,0,0,40,1,0
31,5,0,0,43,1,0
53,13,0,0,40,1,0
24,13,0,0,50,1,0
49,9,0,0,40,0,0
25,9,0,0,35,1,0
57,13,0,0,40,1,1
53,9,0,0,38,1,0
44,14,0,0,40,0,0
41,11,0,0,40,1,0
29,11,0,0,43,1,0
25,10,0,0,40,0,0
47,15,0,1902,60,0,1
50,13,0,0,55,1,1
47,9,0,0,60,1,0
43,10,0,0,40,1,1
46,3,0,0,40,1,0
35,11,0,0,40,1,0
41,9,0,0,48,1,0
30,9,5013,0,40,1,0
30,13,2407,0,40,1,0
48,9,0,0,40,1,0
42,16,0,0,45,1,1
29,10,0,0,58,1,0
36,9,0,0,40,1,0
28,10,0,0,40,0,0
53,9,0,0,40,0,1
49,10,0,0,50,1,1
19,10,0,0,32,1,0
31,13,0,0,40,0,0
29,13,0,0,70,1,1
23,10,0,0,40,1,0
79,10,0,0,20,1,0
27,9,0,0,40,1,0
40,12,0,0,40,1,0
18,7,0,0,22,0,0
31,4,0,0,40,1,0
18,9,0,0,30,1,0
52,13,0,0,40,1,0
46,9,0,0,40,0,0
59,9,0,0,48,1,0
44,9,14344,0,40,0,1
53,9,0,0,35,0,0
49,9,0,0,40,1,1
33,14,0,0,50,1,0
30,5,0,0,40,1,0
43,16,0,0,50,0,1
57,11,0,0,40,1,0
37,10,0,0,40,0,0
28,10,0,0,25,0,0
34,13,0,0,40,1,1
29,10,0,0,50,1,0
48,16,0,1902,60,1,1
37,10,0,0,48,1,1
48,12,0,0,40,0,0
32,9,0,0,40,1,0
76,14,0,0,40,1,1
44,13,15024,0,60,1,1
47,14,0,0,50,0,0
20,10,0,0,40,0,0
29,9,0,0,40,1,0
32,9,7688,0,40,1,1
30,7,0,0,40,1,0
31,9,0,0,40,0,0
42,9,0,0,40,1,0
24,13,0,0,40,1,0
38,15,0,0,40,1,1
56,9,0,1887,50,1,1
28,10,4064,0,25,0,0
36,9,0,0,40,0,0
53,5,0,0,50,1,0
56,10,0,0,50,1,0
49,11,0,0,40,1,1
55,10,0,0,56,1,0
22,9,0,0,41,1,0
21,10,0,0,40,0,0
40,13,0,0,60,1,0
30,13,0,0,40,1,0
29,13,0,0,50,1,1
19,10,0,0,35,1,0
47,13,0,0,40,0,1
20,10,0,1719,28,0,0
31,12,0,0,40,1,1
39,10,0,0,40,1,0
28,12,0,0,60,0,0
24,9,0,1762,40,0,0
38,9,4386,0,35,1,0
37,13,0,0,50,1,0
46,12,0,0,36,0,0
38,14,0,0,40,1,1
43,9,0,0,60,1,0
27,11,0,0,35,0,0
20,10,0,0,20,1,0
49,10,0,0,40,1,1
61,9,0,0,40,1,0
27,10,0,0,40,0,0
19,10,0,0,30,1,0
45,11,0,1564,40,0,1
70,10,0,0,40,1,0
31,9,0,0,30,0,0
22,10,0,0,24,1,0
36,9,0,0,24,0,0
64,7,0,2179,40,1,0
47,10,0,0,38,0,0
34,9,0,0,40,0,0
33,13,0,0,40,0,0
21,9,0,0,35,1,0
48,9,0,0,46,1,0
23,13,0,0,40,1,0
71,10,0,1816,2,1,0
29,9,0,0,60,1,0
42,13,0,0,50,1,0
25,9,0,0,40,0,0
44,14,0,0,40,0,0
28,9,0,0,40,0,0
45,14,0,0,40,1,1
36,10,0,0,40,0,0
39,12,0,0,42,1,0
46,14,0,0,40,1,0
18,7,0,0,16,1,0
66,11,0,0,20,0,0
27,9,0,1980,40,1,0
28,9,0,0,40,1,0
51,10,0,1977,40,1,1
27,13,0,0,50,1,0
28,13,0,0,40,1,1
27,9,0,0,25,0,0
21,9,0,0,40,1,0
34,9,0,0,40,1,0
18,9,0,0,12,1,0
33,13,0,0,65,1,0
44,10,0,0,38,1,1
43,10,0,0,40,0,0
30,10,0,0,45,1,0
40,4,0,0,40,1,1
37,10,0,0,42,1,1
34,9,0,0,40,1,0
41,13,0,0,40,0,0
31,14,0,0,50,0,0
58,16,0,0,1,1,1
38,10,0,0,28,0,0
24,10,0,0,40,1,0
41,13,0,0,40,1,0
47,10,0,0,45,1,0
41,13,0,0,24,1,0
23,3,0,0,40,1,0
36,10,0,0,40,1,0
40,14,14084,0,55,0,1
35,14,7298,0,40,1,1
24,9,0,0,40,1,0
26,14,0,1876,40,0,0
51,13,0,0,50,1,1
42,10,0,1340,40,0,0
37,9,0,0,35,0,0
18,7,0,0,40,0,0
36,13,7298,0,36,1,1
35,9,0,0,60,1,0
58,9,15024,0,35,0,1
17,7,0,0,12,0,0
44,9,0,0,40,1,0
37,9,0,0,40,1,1
35,10,0,0,40,0,0
60,9,0,0,40,1,0
54,4,0,0,40,1,1
37,13,0,0,60,1,1
50,12,0,0,40,0,0
38,13,0,0,50,1,0
45,13,0,0,55,1,0
25,6,0,0,40,1,0
31,10,0,0,40,1,0
90,9,0,2206,40,1,0
54,9,0,0,20,1,0
53,1,0,0,35,0,0
18,9,0,0,40,0,0
66,9,1409,0,50,1,0
75,11,0,0,20,0,0
65,9,0,0,40,0,0
35,7,3674,0,40,1,0
41,9,0,0,38,0,0
25,10,0,0,42,1,0
33,10,0,0,40,0,0
28,15,0,0,55,1,1
59,9,0,0,40,1,0
40,10,0,0,38,0,0
41,13,0,0,50,1,1
38,14,0,0,70,1,1
23,9,0,0,40,1,0
40,13,0,0,40,1,1
41,9,0,0,20,0,0
24,12,0,0,50,1,0
38,10,0,1741,40,1,0
58,9,0,0,45,1,1
32,9,0,0,34,0,0
40,12,0,1977,60,1,1
41,15,0,0,40,0,1
42,13,0,0,40,0,0
59,6,0,0,30,0,0
19,10,0,0,40,1,0
58,10,0,0,20,1,0
42,9,0,0,40,1,1
20,9,0,0,40,0,0
32,9,0,0,30,0,0
45,11,0,0,45,0,0
50,4,0,0,40,1,0
36,13,0,0,40,0,0
45,9,0,0,60,1,0
17,7,0,0,12,1,0
59,10,4064,0,40,1,0
26,7,0,0,40,1,0
37,10,0,0,75,1,1
64,9,0,0,40,1,1
33,13,0,0,45,0,0
33,9,0,0,40,0,1
61,9,0,0,40,1,1
17,5,1055,0,24,1,0
50,14,2407,0,98,1,0
27,14,0,0,35,1,0
30,9,0,0,40,0,0
43,9,0,0,40,1,0
44,10,7298,0,40,1,1
35,10,0,0,40,0,0
25,10,0,0,40,0,0
24,10,7298,0,48,0,1
22,13,0,0,15,0,0
42,10,5178,0,40,1,1
34,12,0,0,45,0,0
60,13,0,0,42,0,0
21,9,0,0,40,1,0
57,14,15024,0,40,1,1
41,15,0,0,60,1,1
50,10,0,0,45,1,0
25,13,0,0,40,0,0
50,4,0,0,40,1,0
36,13,0,0,45,1,0
31,9,0,0,40,0,0
29,13,0,0,56,1,0
21,10,0,0,45,1,0
27,13,0,0,40,0,0
65,9,0,0,16,1,0
37,13,0,0,60,0,0
24,9,0,0,40,1,0
38,9,0,0,80,1,0
48,13,7688,0,40,1,1
21,10,0,0,25,0,0
31,9,0,0,45,1,1
55,9,4386,0,40,1,1
24,10,0,0,40,0,0
43,9,0,0,40,0,0
26,12,0,0,45,1,0
46,12,0,0,33,0,0
35,12,0,0,40,1,1
41,10,0,0,54,1,1
26,13,0,0,40,1,0
34,14,7298,0,35,1,1
36,13,0,0,40,0,1
22,10,0,0,15,1,0
24,10,0,0,40,1,0
77,10,0,0,40,1,0
22,3,0,0,40,0,0
29,10,0,0,40,0,0
62,9,0,0,24,0,0
39,9,0,0,40,1,0
43,10,0,1485,50,1,0
35,9,0,0,45,1,0
29,7,0,0,40,0,0
76,14,0,0,10,1,0
63,9,0,0,45,1,0
43,10,0,1887,50,0,1
58,9,0,0,40,1,0
66,9,2050,0,55,1,0
41,10,0,0,45,1,0
26,13,0,0,40,1,0
47,11,0,0,40,1,0
55,6,0,0,40,1,0
53,9,0,0,40,1,0
17,3,0,0,48,1,0
30,9,0,0,40,1,0
49,14,0,0,60,1,0
19,9,0,0,30,1,0
45,9,0,0,40,1,0
26,12,0,0,40,1,0
38,11,7298,0,40,1,1
36,9,7298,0,40,1,1
33,9,0,0,20,1,0
22,10,0,0,40,0,0
43,13,0,0,42,1,0
56,12,0,0,25,1,0
31,13,0,0,25,1,0
33,13,0,0,40,1,1
26,9,0,0,40,1,0
33,13,0,0,40,1,1
46,7,0,0,30,1,0
38,9,0,0,40,1,1
65,7,0,0,40,1,0
40,11,0,0,40,1,1
42,9,0,0,35,0,0
26,5,0,0,40,1,0
36,6,0,0,24,0,0
62,14,0,0,40,1,1
43,13,0,0,45,1,0
43,13,0,1564,45,1,1
22,9,0,0,55,1,0
28,9,0,0,40,1,0
56,10,0,0,45,1,0
22,12,0,0,15,0,0
57,13,0,0,45,0,1
39,9,0,0,40,0,0
26,10,0,0,15,0,0
17,7,0,0,10,1,0
40,11,0,0,38,1,1
45,9,0,0,40,1,0
44,9,0,0,40,1,0
20,10,0,0,10,0,0
33,9,0,0,40,0,0
23,10,0,0,40,1,0
46,14,0,0,30,1,0
38,9,0,0,50,1,0
54,9,0,0,40,1,0
46,3,0,2339,45,0,0
25,10,0,0,40,1,0
46,10,0,0,40,0,0
36,10,0,0,40,0,0
23,9,0,0,25,0,0
29,9,0,0,40,1,0
44,10,0,2415,6,0,1
19,10,0,0,16,0,0
19,9,0,0,40,0,0
35,9,0,0,40,0,1
27,13,0,0,50,1,0
46,12,0,0,40,1,0
34,9,0,0,35,0,0
44,10,0,0,40,1,0
45,10,0,0,40,0,0
25,13,0,0,55,1,1
52,13,0,0,50,1,1
20,10,0,0,40,1,0
28,10,0,0,40,0,0
50,13,0,0,40,1,1
34,11,0,0,64,0,0
28,4,0,2179,40,1,0
41,14,0,1977,65,1,1
28,9,0,0,40,1,0
46,9,0,0,25,1,0
32,10,0,0,50,1,0
41,10,0,0,24,0,0
24,9,0,0,40,0,0
33,10,0,0,40,0,0
46,16,15024,0,60,1,1
31,10,0,0,40,1,0
35,8,0,0,50,1,1
52,2,0,0,40,1,0
30,7,0,0,19,0,0
34,7,0,0,40,1,0
34,9,0,0,40,0,0
20,10,0,0,30,1,0
17,7,2176,0,18,1,0
32,13,0,0,40,0,1
29,9,0,0,40,1,0
33,6,0,0,35,0,0
25,9,0,0,60,1,0
36,14,0,1408,40,1,0
23,9,0,0,72,1,0
63,9,0,0,40,1,1
47,14,0,0,40,1,0
40,13,2174,0,40,0,0
30,12,0,0,25,0,1
27,10,0,1980,40,1,0
33,14,0,0,50,1,1
34,9,594,0,60,1,0
34,10,0,0,40,0,0
23,10,0,0,40,1,0
42,10,0,0,40,0,0
29,13,0,0,40,1,0
45,9,0,0,28,0,0
24,9,0,0,40,1,0
44,10,0,0,40,1,1
27,5,0,0,40,1,0
20,10,0,0,35,1,0
44,9,0,0,40,0,0
51,9,0,0,40,1,0
20,9,0,0,40,1,0
19,9,0,0,40,0,0
45,10,0,0,55,1,1
60,9,0,0,40,1,1
44,9,0,0,40,0,1
40,11,0,0,40,1,1
30,9,0,0,40,0,0
38,10,0,0,50,1,0
23,9,0,0,60,1,0
44,12,0,0,40,1,0
54,9,0,0,40,1,0
32,13,0,0,50,1,0
50,2,0,0,40,1,0
24,13,0,0,20,0,0
37,9,0,0,60,0,0
52,9,0,0,40,1,0
38,10,0,0,40,1,0
