age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income-per-year
39,State-gov,77313,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,2105,0,34,United-States,<=50K
50,Self-emp-not-inc,83311,Bachelors,13,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0,0,11,United-States,<=50K
38,Private,204621,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,34,United-States,<=50K
53,Private,219737,11th,7,Married-civ-spouse,Handlers-cleaners,Not-in-family,Black,Male,0,0,34,United-States,<=50K
28,Private,338409,Bachelors,13,Married-civ-spouse,Prof-specialty,Other-relative,Black,Male,0,0,40,Cuba,<=50K
37,Self-emp-not-inc,284582,Masters,14,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
49,Private,160187,9th,5,Married-spouse-absent,Other-service,Own-child,Black,Male,0,0,16,Jamaica,<=50K
52,Self-emp-not-inc,199963,HS-grad,9,Separated,?,Not-in-family,White,Male,0,0,38,United-States,<=50K
31,Private,45781,Masters,14,Never-married,Prof-specialty,Own-child,White,Male,13550,0,50,United-States,>50K
42,Private,154600,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,5013,0,34,United-States,<=50K
37,Private,262439,Some-college,10,Married-civ-spouse,Exec-managerial,Own-child,Black,Male,0,0,67,United-States,<=50K
30,State-gov,138270,Bachelors,13,Married-civ-spouse,Prof-specialty,Own-child,Asian-Pac-Islander,Male,0,0,34,United-States,>50K
23,Private,122272,Bachelors,13,Never-married,Other-service,Own-child,White,Male,0,0,30,United-States,<=50K
32,Private,196788,Assoc-acdm,12,Never-married,Sales,Not-in-family,Black,Male,0,0,42,United-States,<=50K
40,Private,120251,Assoc-voc,11,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,0,0,34,?,>50K
34,Private,230039,7th-8th,4,Never-married,Transport-moving,Own-child,Amer-Indian-Eskimo,Male,0,0,38,Mexico,<=50K
25,Private,171807,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,29,United-States,<=50K
32,Private,181032,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,34,United-States,<=50K
