sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,decile_score,score_text
Male,69,Greater than 45,Other,0,0,0,0,F,Aggravated Assault w/Firearm,1,Low
Male,34,25 - 45,African-American,0,0,0,0,F,Felony Battery w/Prior Convict,3,Low
Male,24,Less than 25,African-American,0,0,1,4,F,Possession of Cocaine,4,Low
Male,41,25 - 45,Caucasian,0,0,0,14,F,Possession Burglary Tools,6,Medium
Male,43,25 - 45,Other,0,0,0,3,F,arrest case no charge,4,Low
Female,39,25 - 45,Caucasian,0,0,0,0,M,Battery,1,Low
Male,27,25 - 45,Caucasian,0,0,0,0,F,"Poss 3,4 MDMA (Ecstasy)",4,Low
Male,23,Less than 25,African-American,0,0,0,3,M,Battery,6,Medium
Male,41,25 - 45,African-American,0,0,0,0,F,"Poss3,4 Methylenedioxymethcath",4,Low
Male,31,25 - 45,African-American,0,0,0,7,F,Felony Driving While Lic Suspd,3,Low
Male,37,25 - 45,Hispanic,0,0,0,0,M,Battery,1,Low
Male,31,25 - 45,Caucasian,0,0,0,6,F,Driving While License Revoked,5,Medium
Male,31,25 - 45,Caucasian,0,0,0,5,F,Possession Of Heroin,3,Low
Male,64,Greater than 45,African-American,0,0,0,13,F,arrest case no charge,6,Medium
Male,21,Less than 25,African-American,0,0,0,1,F,Battery on Law Enforc Officer,9,High
Male,27,25 - 45,Caucasian,0,0,0,0,M,Possession Of Methamphetamine,2,Low
Female,21,Less than 25,Caucasian,0,0,0,0,F,Introduce Contraband Into Jail,4,Low
Male,24,Less than 25,Hispanic,0,0,0,1,F,Lewd/Lasc Battery Pers 12+/<16,4,Low
Male,26,25 - 45,African-American,0,0,1,5,F,Pos Cannabis W/Intent Sel/Del,7,Medium
Male,32,25 - 45,African-American,0,0,0,4,F,Att Tamper w/Physical Evidence,8,High
Male,49,Greater than 45,Other,0,0,0,7,F,Agg Fleeing and Eluding,3,Low
Female,33,25 - 45,Caucasian,0,0,0,4,M,Battery,5,Medium
Male,24,Less than 25,Caucasian,0,0,0,1,M,Battery,2,Low
Male,34,25 - 45,African-American,2,1,3,21,F,Poss Wep Conv Felon,9,High
Male,29,25 - 45,Caucasian,0,0,0,2,M,Viol Injunct Domestic Violence,2,Low
Female,51,Greater than 45,African-American,0,0,0,7,F,Possession of Cocaine,2,Low
Male,29,25 - 45,African-American,0,0,0,0,F,Tampering With Physical Evidence,4,Low
Female,28,25 - 45,Other,0,0,0,0,F,Grand Theft in the 3rd Degree,2,Low
Male,30,25 - 45,Hispanic,0,0,0,0,M,Possess Cannabis/20 Grams Or Less,7,Medium
Male,49,Greater than 45,African-American,0,0,0,4,M,Battery,1,Low
Male,53,Greater than 45,Caucasian,0,0,0,8,F,arrest case no charge,5,Medium
Male,35,25 - 45,African-American,0,0,0,5,F,Driving While License Revoked,3,Low
Male,27,25 - 45,African-American,1,1,2,15,F,Driving While License Revoked,10,High
Male,38,25 - 45,Caucasian,0,0,0,4,M,Battery,2,Low
Male,22,Less than 25,African-American,0,0,1,1,F,Poss Firearm W/Altered ID#,4,Low
Male,29,25 - 45,African-American,0,0,0,4,F,arrest case no charge,9,High
Male,62,Greater than 45,Hispanic,0,0,0,0,M,Unlaw LicTag/Sticker Attach,1,Low
Male,27,25 - 45,African-American,0,1,0,6,F,Aggravated Battery / Pregnant,6,Medium
Male,33,25 - 45,Other,0,0,0,0,M,Battery,1,Low
Male,45,Greater than 45,Hispanic,0,0,0,6,F,Possession of Cocaine,1,Low
Male,22,Less than 25,Hispanic,0,0,0,1,F,Burglary Structure Unoccup,4,Low
Male,29,25 - 45,African-American,0,0,0,5,F,False Name By Person Arrest,6,Medium
Male,22,Less than 25,African-American,0,0,0,1,M,Battery,3,Low
Male,22,Less than 25,Caucasian,0,0,0,0,F,Grand Theft in the 3rd Degree,8,High
Female,26,25 - 45,African-American,0,0,0,1,F,Poss Cocaine/Intent To Del/Sel,4,Low
Male,30,25 - 45,African-American,0,0,0,8,M,Possess Cannabis/20 Grams Or Less,10,High
Male,25,25 - 45,African-American,1,6,1,14,F,arrest case no charge,10,High
Male,20,Less than 25,Other,0,0,0,0,F,Tampering With Physical Evidence,5,Medium
Male,22,Less than 25,African-American,1,0,0,2,F,Attempted Burg/struct/unocc,9,High
Female,35,25 - 45,African-American,0,0,0,1,M,arrest case no charge,2,Low
Male,36,25 - 45,African-American,0,0,0,9,F,Deliver Cocaine,7,Medium
Male,26,25 - 45,Caucasian,0,0,0,7,F,Possession Burglary Tools,8,High
Male,21,Less than 25,Other,0,0,0,1,F,Grand Theft in the 3rd Degree,6,Medium
Male,39,25 - 45,Caucasian,0,0,0,2,F,Possession Of Alprazolam,1,Low
Female,54,Greater than 45,Caucasian,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,1,Low
Female,44,25 - 45,Hispanic,0,0,0,0,M,Battery,1,Low
Male,19,Less than 25,African-American,0,0,0,1,M,Battery,4,Low
Female,39,25 - 45,Caucasian,0,0,0,0,F,Aggravated Assault W/Dead Weap,1,Low
