1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,gender,Credit
1,5,4,9,5,5,4,1,65,3,2,1,2,1,0,0,1,0,0,1,0,0,1,1,1
2,48,2,60,1,3,2,1,22,3,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0
4,11,4,15,1,4,3,1,47,3,1,2,1,1,0,0,1,0,0,1,0,1,0,1,1
1,42,2,61,1,4,4,2,43,3,1,2,1,1,0,0,0,0,0,0,0,0,1,1,1
1,21,3,37,1,3,4,4,51,3,2,2,1,1,1,0,1,0,0,0,0,0,1,1,0
4,30,2,72,5,3,4,4,33,3,1,2,2,1,0,0,1,0,0,0,0,1,0,1,1
4,21,2,21,3,5,4,2,51,3,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1
2,30,2,51,1,3,2,3,33,3,1,1,2,1,0,1,1,0,1,0,0,0,0,1,1
4,11,2,23,4,4,4,1,59,3,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1
2,27,4,38,1,1,2,3,27,3,2,1,1,1,1,0,1,0,0,1,0,0,0,1,0
2,12,2,13,1,2,1,3,25,3,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0
1,48,2,43,1,2,4,2,24,3,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0
2,12,2,16,1,3,1,3,22,3,1,1,2,1,0,0,1,0,0,1,0,0,1,0,1
1,21,4,9,1,5,4,3,58,3,2,1,1,1,1,0,1,0,0,1,0,1,0,1,0
1,15,2,14,1,3,4,3,28,3,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1
1,24,2,13,2,3,2,3,32,3,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0
4,21,4,18,5,5,4,2,51,3,2,1,1,1,0,0,1,0,0,1,0,0,1,1,1
1,27,0,63,5,2,3,3,24,1,3,1,1,1,0,0,1,0,0,1,0,0,1,1,1
2,24,2,126,1,5,2,4,44,3,1,1,2,1,0,1,1,0,0,0,0,0,0,1,0
4,21,2,25,3,5,2,3,30,3,1,2,2,1,0,0,1,0,0,1,0,0,1,1,1
4,8,4,15,1,3,4,3,46,3,3,1,2,1,1,0,1,0,0,1,0,0,1,1,1
1,5,2,20,3,3,3,1,42,3,1,2,1,1,0,0,1,0,1,0,0,0,1,1,1
1,9,4,16,1,2,3,1,46,3,2,2,1,2,1,0,1,0,1,0,0,1,0,1,1
2,11,4,13,2,2,4,2,42,3,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1
4,9,4,15,5,3,1,3,25,3,2,1,1,2,0,0,1,0,0,1,0,0,1,1,1
1,5,2,11,1,3,2,1,34,1,1,1,2,1,0,0,1,0,0,1,0,1,0,1,1
4,5,0,3,1,5,4,3,37,3,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1
3,12,1,4,4,3,3,1,42,3,2,1,1,1,0,0,1,0,1,0,0,0,1,1,1
2,7,2,18,1,3,2,1,32,3,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1
1,48,3,50,1,5,4,4,61,3,2,1,2,1,0,0,1,0,0,1,0,0,1,1,0
2,15,2,14,4,2,3,1,34,1,1,1,2,1,0,0,1,0,0,1,0,0,1,1,1
1,21,2,30,1,3,2,3,26,2,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1
2,15,2,44,2,3,2,3,29,3,2,1,2,1,1,0,1,0,0,1,0,0,1,1,1
4,11,4,10,5,5,4,4,55,3,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1
3,12,2,15,1,2,1,2,33,1,1,1,2,1,0,0,1,0,0,1,0,0,0,1,1
2,42,4,35,1,2,2,2,24,3,2,1,1,1,0,0,1,0,0,1,0,1,0,1,0
4,47,4,45,1,3,3,4,30,1,1,1,2,1,0,0,1,0,0,0,0,0,1,1,1
3,15,2,15,1,3,2,1,35,2,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0
3,9,2,9,1,3,2,3,35,3,1,1,2,1,0,0,1,0,0,1,0,0,1,1,1
2,8,2,3,1,3,3,1,23,3,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1
4,27,2,17,3,5,2,3,29,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1
2,11,2,9,3,3,1,3,25,3,1,1,2,1,0,0,1,0,0,1,0,0,1,1,1
2,15,3,46,1,3,4,1,42,3,1,2,2,1,0,0,1,0,0,1,0,1,0,1,1
1,27,4,46,2,4,4,3,23,3,2,1,1,1,0,1,1,0,1,0,0,0,1,1,1
1,48,4,61,1,5,4,4,58,2,2,1,1,1,0,1,1,0,0,0,0,1,0,1,0
4,11,4,14,1,2,4,3,35,3,2,1,1,1,1,0,1,0,0,1,0,0,0,1,1
4,30,2,17,3,5,4,3,37,3,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1
1,5,2,14,3,1,2,2,23,3,1,1,2,1,0,1,1,0,1,0,1,0,0,1,1
4,10,4,54,1,3,4,2,37,3,2,1,1,1,1,0,1,0,0,1,0,1,0,1,1
4,12,2,21,2,3,2,1,28,3,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1
2,21,3,17,5,2,2,2,28,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1
2,24,3,45,1,5,2,3,29,3,2,1,2,1,0,1,1,0,0,1,0,0,0,1,1
4,11,2,10,1,3,2,3,24,3,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1
4,15,2,25,5,3,1,2,30,3,1,1,2,1,0,1,1,0,0,1,0,0,1,1,1
2,30,3,16,1,5,4,4,55,1,2,1,2,1,1,0,1,0,0,0,0,0,1,1,0
4,5,1,6,5,3,2,1,25,2,1,2,1,1,1,0,0,0,0,1,0,1,0,1,1
2,11,2,48,5,1,1,4,50,3,1,1,2,1,0,0,1,0,0,1,0,0,0,1,0
4,36,4,96,1,3,2,3,31,2,2,1,1,1,0,0,1,0,0,1,0,0,1,1,1
3,18,2,20,1,5,2,3,23,3,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1
1,36,4,62,1,2,4,4,23,3,2,1,2,1,0,0,0,1,1,0,0,1,0,0,0
2,8,2,11,1,3,1,1,26,1,1,1,2,1,0,0,1,0,0,1,0,0,1,1,1
2,13,4,11,5,5,4,1,48,3,2,1,2,1,0,0,0,0,0,1,0,0,1,1,1
2,30,0,15,1,5,4,4,59,3,1,1,2,1,0,0,1,0,0,0,0,0,0,1,0
2,47,0,127,1,3,2,3,24,3,1,1,2,1,0,0,1,0,0,1,0,0,1,1,0
4,24,2,32,1,2,4,2,26,3,1,1,2,1,0,0,1,0,0,1,0,0,1,0,1
4,24,2,38,5,5,4,2,46,3,4,2,2,1,0,0,1,0,0,1,0,0,1,1,1
4,12,2,22,1,2,2,3,29,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1
2,11,2,8,4,3,1,1,21,3,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1
4,30,2,13,1,3,4,4,35,2,1,1,2,1,0,0,1,0,0,0,0,0,1,1,0
4,36,2,24,5,3,4,3,25,3,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1
4,36,2,81,1,3,2,2,30,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1
4,7,4,5,5,5,2,2,44,3,2,1,2,1,0,0,1,0,1,0,0,1,0,1,1
1,8,4,9,1,5,4,4,49,1,2,2,2,1,0,0,1,0,0,0,0,0,0,1,1
2,42,4,60,1,4,1,1,41,1,2,1,1,1,0,0,1,0,0,1,0,1,0,1,1
1,30,2,15,5,5,4,4,38,3,1,1,2,1,0,0,1,0,0,1,0,0,0,1,0
1,11,4,11,1,5,4,4,64,3,2,1,1,1,0,1,1,0,0,0,0,0,0,1,1
1,42,2,30,1,2,3,3,32,3,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0
2,10,3,36,1,4,4,2,49,3,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1
4,48,0,76,5,3,2,2,37,3,1,2,1,1,0,1,1,0,0,1,0,1,0,1,1
2,27,2,28,1,2,1,2,21,3,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1
4,24,2,59,5,2,1,3,44,3,2,1,2,1,0,0,1,0,0,1,0,0,1,1,0
4,13,2,9,3,5,3,2,45,2,1,1,2,1,0,0,1,0,0,1,0,0,1,1,1
4,18,2,16,2,3,4,2,24,3,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1
1,24,2,18,1,5,4,1,58,3,1,1,2,1,0,0,0,0,0,1,0,1,0,1,1
1,9,2,17,1,5,4,1,50,3,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1
4,12,4,14,1,3,2,1,29,3,2,1,2,1,0,0,0,0,0,1,0,0,0,1,1
2,18,4,13,1,2,1,2,27,3,2,1,1,1,0,0,1,0,0,1,0,0,1,1,1
2,30,2,104,2,3,4,4,45,3,1,2,2,1,0,0,1,0,0,0,0,0,1,1,0
1,15,2,16,2,4,3,3,29,3,1,2,2,1,1,0,1,0,0,1,0,0,0,1,1
1,11,0,8,1,4,3,1,27,3,2,1,1,1,0,0,1,0,0,1,0,0,1,1,0
4,11,4,4,1,5,4,1,54,3,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1
1,11,4,11,1,5,3,1,52,3,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1
4,12,4,8,5,5,3,2,33,1,1,2,1,1,0,0,1,0,0,1,0,1,0,1,0
3,21,4,27,5,5,4,4,19,3,2,1,1,1,0,0,0,1,1,0,0,0,1,1,1
